id,created_at,entry_year,entry_semester,shift,current_period,academic_status,hardest_subject_1,hardest_subject_2,hardest_subject_3,least_interesting_subject_1,least_interesting_subject_2,least_interesting_subject_3,most_relevant_subject_1,most_relevant_subject_2,most_relevant_subject_3,ai_tool,ai_tool_other,main_language,main_language_other,comfortable_languages,comfortable_languages_other,professional_level,professional_level_other,work_area,work_area_other,time_in_tech,time_working_general,company_size,salary_after_graduation,salary_5_years,salary_10_years,career_intention,english_level,current_salary,main_languages
04f683f4-bc46-403d-8f8e-00185a53bae1,2026-06-13 12:26:05.741416+00,2022,2,Noite,6,Irregular,Algoritmos e Estruturas de Dados II,Programação Modular,Algoritmos e Estruturas de Dados I,,,,Projeto de Software,Arquitetura de Computadores,Trabalho Interdisciplinar: Aplicações para Sustentabilidade,Claude,,JavaScript,React,"[""C"", ""JavaScript""]",,Auxiliar / Assistente,,Frontend,,2 a 4 anos,Mais de 4 anos,Grande empresa / corporação (500 ou mais funcionários),R$ 5.000 – R$ 8.000,R$ 8.000 – R$ 12.000,R$ 12.000 – R$ 18.000,Concurso público,Intermediário,R$ 4.000 – R$ 6.000,"[""JavaScript"", ""Java"", ""C"", ""React""]"
2d249ca9-8a17-475f-8ab3-1e9f1a79a21c,2026-06-12 22:08:30.537001+00,2023,1,Noite,6,Regular,Fundamentos de Projeto e Análise de Algoritmos,Teoria dos Grafos e Computabilidade,Estatística e Probabilidade,Introdução à Pesquisa em Informática,,,Algoritmos e Estruturas de Dados I,Algoritmos e Estruturas de Dados II,Desenvolvimento de Aplicações Móveis e Distribuídas,ChatGPT,,JavaScript,,"[""JavaScript"", ""TypeScript"", ""Java""]",,Estagiário,,Análise de Sistemas,,6 meses a 1 ano,2 a 4 anos,Grande empresa / corporação (500 ou mais funcionários),R$ 3.000 – R$ 5.000,R$ 8.000 – R$ 12.000,R$ 12.000 – R$ 18.000,Mercado privado no exterior,Intermediário,R$ 2.000 – R$ 4.000,"[""JavaScript"", ""TypeScript"", ""Python""]"
720c5dd1-5dde-4a60-9210-e0c3cbad4174,2026-06-12 21:15:26.388345+00,2026,1,Manhã,1,Regular,Computabilidade,Introdução à Algoritmos,Desenvolvimento de Interfaces Web,Arquitetura de Computadores,,,Arquitetura de Software,Análise e Projeto de Algoritmos,Bancos de Dados,Claude,,Python,,"[""Python""]",,Não trabalho na área,,,,Não trabalho na área,Não trabalho na área,,R$ 12.000 – R$ 18.000,Acima de R$ 18.000,Acima de R$ 18.000,Mercado privado no exterior,Avançado,,"[""Python""]"
fa81cf28-c76c-46f6-8b06-7de3031d1a38,2026-06-12 15:42:03.303306+00,2026,1,Manhã,1,Regular,Computabilidade,Introdução à Algoritmos,Introdução à Computação,Computabilidade,,,Introdução à Algoritmos,Introdução à Computação,Desenvolvimento de Interfaces Web,Gemini,,Python,,"[""Python""]",,Não trabalho na área,,,,Não trabalho na área,Não trabalho na área,,R$ 3.000 – R$ 5.000,R$ 5.000 – R$ 8.000,R$ 8.000 – R$ 12.000,Mercado privado no exterior,Nenhum,,"[""Python"", ""JavaScript""]"
5164ecec-496a-4ffa-8338-c139977cde51,2026-06-12 15:20:22.109093+00,2026,1,Manhã,1,Regular,Algoritmos e Estruturas de Dados I,Computabilidade,Desenvolvimento de Interfaces Web,Algoritmos e Estruturas de Dados I,Computabilidade,Desenvolvimento de Interfaces Web,Algoritmos e Estruturas de Dados I,Fundamentos de Engenharia de Software,Introdução à Computação,ChatGPT,,Python,,"[""Python""]",,Não trabalho na área,,,,Não trabalho na área,Não trabalho na área,,Acima de R$ 18.000,R$ 8.000 – R$ 12.000,Acima de R$ 18.000,Mercado privado no exterior,Básico,,"[""Python""]"
bad40935-64a1-48e6-8b29-80fddbac50a8,2026-06-12 15:19:59.158523+00,2026,1,Manhã,1,Regular,Introdução à Algoritmos,Computabilidade,Introdução à Computação,Desenvolvimento de Interfaces Web,,,Introdução à Algoritmos,,,Claude,,Python,,"[""Python"", ""JavaScript""]",,Não trabalho na área,,,,Não trabalho na área,Não trabalho na área,,Acima de R$ 18.000,R$ 5.000 – R$ 8.000,R$ 12.000 – R$ 18.000,Mercado privado no exterior,Intermediário,,"[""Python"", ""JavaScript""]"
2262d5f5-4818-4d80-a932-618b46b7bbd7,2026-06-12 15:19:50.36352+00,2026,1,Manhã,2,Regular,Computabilidade,Desenvolvimento de Interfaces Web,Trabalho Interdisciplinar: Aplicações Web,Introdução à Algoritmos,Introdução à Computação,Desenvolvimento de Interfaces Web,Computabilidade,Trabalho Interdisciplinar: Aplicações Web,Introdução à Algoritmos,ChatGPT,,Python,,"[""Python"", ""JavaScript""]",,Não trabalho na área,,,,Não trabalho na área,Não trabalho na área,,R$ 3.000 – R$ 5.000,R$ 8.000 – R$ 12.000,R$ 12.000 – R$ 18.000,Empreender / abrir minha própria empresa,Intermediário,,"[""Python"", ""JavaScript""]"
06580433-cfc3-41e3-9257-af95f901720d,2026-06-12 15:19:46.046366+00,2026,1,Manhã,1,Regular,Computabilidade,Introdução à Algoritmos,Desenvolvimento de Interfaces Web,Introdução à Computação,Desenvolvimento de Interfaces Web,Trabalho Interdisciplinar: Aplicações Web,Introdução à Algoritmos,Fundamentos de Engenharia de Software,Computabilidade,ChatGPT,,Python,,"[""Python""]",,Não trabalho na área,,,,Não trabalho na área,Não trabalho na área,,Até R$ 3.000,R$ 5.000 – R$ 8.000,R$ 12.000 – R$ 18.000,Ainda não sei / não tenho plano definido,Básico,,"[""Python""]"
96a746f9-1c5d-47c7-ab10-426ec47572b9,2026-06-12 15:19:44.511166+00,2026,1,Manhã,1,Regular,Algoritmos e Estruturas de Dados I,Desenvolvimento de Interfaces Web,Computabilidade,Fundamentos de Engenharia de Software,Cálculo I,Algoritmos e Estruturas de Dados I,Algoritmos e Estruturas de Dados I,Computabilidade,Introdução à Computação,Claude,,Python,,"[""Python"", ""JavaScript""]",,Não trabalho na área,,,,Não trabalho na área,Não trabalho na área,,R$ 5.000 – R$ 8.000,R$ 12.000 – R$ 18.000,Acima de R$ 18.000,Mercado privado no exterior,Avançado,,"[""Python"", ""JavaScript""]"
d7f88e00-41d9-4d7a-b8e2-6770d14896cd,2026-06-12 15:19:36.77724+00,2026,1,Manhã,1,Regular,Computabilidade,Desenvolvimento de Interfaces Web,Trabalho Interdisciplinar: Aplicações Web,Desenvolvimento de Interfaces Web,,,Introdução à Algoritmos,Desenvolvimento de Interfaces Web,Trabalho Interdisciplinar: Aplicações Web,ChatGPT,,Python,,"[""Python""]",,Não trabalho na área,,,,Não trabalho na área,Não trabalho na área,,R$ 3.000 – R$ 5.000,R$ 8.000 – R$ 12.000,Acima de R$ 18.000,Ainda não sei / não tenho plano definido,Intermediário,,"[""Python""]"
